iter	MultiClass
0	2.043000101
1	2.000447807
2	1.959845167
3	1.924624635
4	1.892542442
5	1.862723641
6	1.837704499
7	1.810654264
8	1.779849972
9	1.757303675
10	1.73238216
11	1.712873685
12	1.691639539
13	1.669912654
14	1.651251783
15	1.629962679
16	1.608362991
17	1.592456743
18	1.570852598
19	1.556734379
20	1.539137015
21	1.520043319
22	1.506979967
23	1.486813246
24	1.471508557
25	1.456951149
26	1.444149661
27	1.429096293
28	1.412644763
29	1.403448495
30	1.391340295
31	1.378761306
32	1.364961283
33	1.349833217
34	1.338723476
35	1.327325164
36	1.317759794
37	1.306962289
38	1.297743879
39	1.289422319
40	1.279286897
41	1.270836887
42	1.258135647
43	1.250171766
44	1.240786061
45	1.232175338
46	1.225594997
47	1.213996691
48	1.207719444
49	1.20006174
50	1.189776495
51	1.181710727
52	1.174134983
53	1.165997768
54	1.153307714
55	1.147026202
56	1.141810944
57	1.135269548
58	1.126984437
59	1.118588502
60	1.110767733
61	1.103199103
62	1.097527322
63	1.092344343
64	1.085544133
65	1.078766714
66	1.070347176
67	1.065443695
68	1.056938996
69	1.051299374
70	1.042228227
71	1.035386118
72	1.027552423
73	1.019961046
74	1.013873014
75	1.008243235
76	1.002209478
77	0.9959275024
78	0.9898870036
79	0.9823702675
80	0.9782157078
81	0.9708319041
82	0.9670368933
83	0.9626182535
84	0.9571525201
85	0.9505474457
86	0.9453509957
87	0.9404875555
88	0.9355982974
89	0.9296811628
90	0.9242585669
91	0.9189617001
92	0.9157661426
93	0.9100327326
94	0.9079016886
95	0.9010484286
96	0.8959190593
97	0.8919196805
98	0.8843161616
99	0.8807348202
100	0.8747790271
101	0.8711476085
102	0.8660560652
103	0.8614073482
104	0.8566529931
105	0.8519190869
106	0.8456501061
107	0.8424967045
108	0.836399831
109	0.8309482336
110	0.8244219801
111	0.820641418
112	0.8138470702
113	0.8093857512
114	0.807109408
115	0.802001413
116	0.7985331376
117	0.7938976864
118	0.790156525
119	0.7872942795
120	0.7822854588
121	0.7780713135
122	0.7733884258
123	0.7701050169
124	0.7644884964
125	0.761655575
126	0.7582939124
127	0.7524985788
128	0.7501411769
129	0.7459930606
130	0.7416653011
131	0.7385499572
132	0.7335049913
133	0.7296533284
134	0.7259972232
135	0.7248528528
136	0.720679554
137	0.7164735352
138	0.7143960673
139	0.7113342928
140	0.7075782316
141	0.703878946
142	0.6995584579
143	0.6953838444
144	0.6918370674
145	0.6877752204
146	0.6846680775
147	0.6819733813
148	0.6780081337
149	0.6745052853
150	0.6700712798
151	0.6666277553
152	0.6629569549
153	0.6597266815
154	0.6573379054
155	0.6552385367
156	0.6525969325
157	0.6495398944
158	0.6471123768
159	0.6448885126
160	0.641605924
161	0.6404922779
162	0.6389110527
163	0.6364977497
164	0.6345571512
165	0.6321967587
166	0.6291929824
167	0.625950448
168	0.6235587832
169	0.6203967566
170	0.6163447509
171	0.6140460066
172	0.6110018036
173	0.6079573543
174	0.6051987431
175	0.6017247145
176	0.5997493677
177	0.5969044957
178	0.5952548329
179	0.5925906812
180	0.59016075
181	0.5889795387
182	0.5872092983
183	0.5852647034
184	0.5832223929
185	0.5807407379
186	0.5794814372
187	0.5778057728
188	0.5748825808
189	0.5734396765
190	0.5703477884
191	0.5680577657
192	0.5658849001
193	0.5635787143
194	0.560452913
195	0.5590670658
196	0.5573274187
197	0.5543756932
198	0.5526300206
199	0.5491905421
200	0.5468591317
201	0.5447218103
202	0.5419775463
203	0.5395885059
204	0.5371883593
205	0.5344795325
206	0.5332396978
207	0.5308968938
208	0.5283930872
209	0.5266548647
210	0.5257210225
211	0.5231100035
