iter	Passed	Remaining
0	4	4304
1	12	5990
2	19	6522
3	27	6806
4	35	6968
5	42	7065
6	50	7155
7	57	7171
8	65	7237
9	73	7268
10	81	7297
11	88	7323
12	96	7334
13	104	7337
14	111	7353
15	119	7358
16	127	7351
17	134	7352
18	142	7352
19	149	7344
20	157	7342
21	165	7340
22	172	7339
23	180	7342
24	188	7337
25	195	7329
26	203	7334
27	211	7338
28	219	7333
29	226	7333
30	234	7328
31	242	7322
32	249	7318
33	257	7319
34	265	7320
35	273	7315
36	281	7320
37	289	7318
38	296	7312
39	304	7310
40	312	7311
41	320	7300
42	327	7297
43	335	7287
44	343	7289
45	351	7286
46	359	7285
47	367	7288
48	375	7293
49	383	7287
50	391	7288
51	399	7284
52	407	7282
53	415	7280
54	423	7278
55	431	7271
56	439	7268
57	447	7263
58	455	7260
59	462	7252
60	470	7243
61	478	7241
62	486	7232
63	493	7222
64	501	7212
65	509	7203
66	516	7191
67	524	7186
68	531	7175
69	539	7167
70	547	7159
71	554	7152
72	562	7145
73	570	7143
74	578	7138
75	586	7130
76	594	7123
77	602	7118
78	609	7109
79	617	7099
80	624	7089
81	632	7082
82	640	7077
83	648	7067
84	655	7060
85	663	7051
86	671	7044
87	678	7033
88	686	7026
89	694	7020
90	701	7011
91	709	7003
92	717	6997
93	725	6990
94	733	6984
95	740	6974
96	748	6967
97	756	6959
98	764	6953
99	772	6948
100	780	6943
101	787	6936
102	795	6927
103	803	6919
104	810	6912
105	818	6905
106	826	6895
107	833	6888
108	841	6880
109	849	6872
110	857	6864
111	864	6857
112	872	6851
113	880	6844
114	888	6836
115	896	6828
116	903	6820
117	911	6812
118	919	6805
119	927	6798
120	935	6793
121	942	6785
122	950	6779
123	958	6770
124	965	6761
125	973	6754
126	982	6750
127	989	6742
128	997	6736
129	1005	6727
130	1013	6720
131	1020	6713
132	1028	6707
133	1036	6698
134	1044	6690
135	1051	6682
136	1059	6673
137	1066	6664
138	1074	6656
139	1082	6647
140	1089	6637
141	1097	6632
142	1105	6623
143	1112	6616
144	1120	6609
145	1128	6603
146	1136	6596
147	1144	6590
148	1152	6581
149	1160	6575
150	1168	6567
151	1175	6560
152	1183	6552
153	1191	6544
154	1199	6536
155	1206	6528
156	1214	6521
157	1222	6513
158	1230	6505
159	1237	6498
160	1245	6489
161	1253	6481
162	1260	6473
163	1268	6464
164	1275	6457
165	1283	6450
166	1291	6443
167	1299	6434
168	1307	6428
169	1315	6420
170	1323	6414
171	1330	6405
172	1338	6398
173	1345	6388
174	1353	6380
175	1361	6372
176	1368	6363
177	1376	6354
178	1383	6346
179	1391	6338
180	1398	6329
181	1406	6321
182	1413	6312
183	1421	6304
184	1428	6294
185	1436	6287
186	1444	6279
187	1452	6272
188	1459	6263
189	1467	6256
190	1475	6248
191	1499	6308
192	1507	6303
193	1515	6297
194	1523	6290
195	1531	6283
196	1539	6276
197	1547	6267
198	1555	6259
199	1562	6250
200	1570	6241
201	1577	6233
202	1585	6225
203	1593	6216
204	1601	6208
205	1608	6200
206	1616	6193
207	1624	6185
208	1632	6177
209	1639	6169
210	1647	6161
211	1655	6153
212	1663	6145
213	1671	6138
214	1678	6130
215	1686	6121
216	1694	6113
217	1702	6106
218	1709	6096
219	1717	6088
220	1724	6080
221	1732	6072
222	1740	6064
223	1756	6084
224	1765	6082
225	1774	6076
226	1782	6069
227	1790	6061
228	1798	6055
229	1806	6047
230	1814	6040
231	1822	6032
232	1830	6024
233	1837	6016
234	1845	6009
235	1853	6001
236	1861	5993
237	1869	5986
238	1877	5977
239	1885	5969
240	1893	5961
241	1900	5953
242	1908	5945
243	1916	5937
244	1923	5928
245	1931	5920
246	1939	5911
247	1946	5903
248	1954	5895
249	1962	5887
250	1970	5879
251	1978	5871
252	1985	5862
253	1993	5855
254	2001	5847
255	2009	5839
256	2017	5833
257	2025	5825
258	2033	5817
259	2041	5809
260	2048	5801
261	2056	5793
262	2064	5785
263	2072	5777
264	2079	5769
265	2087	5760
266	2095	5752
267	2102	5743
268	2110	5735
269	2118	5726
270	2126	5719
271	2133	5710
272	2141	5702
273	2148	5693
274	2156	5685
275	2163	5676
276	2171	5667
277	2178	5658
278	2186	5650
279	2194	5641
280	2201	5633
281	2209	5625
282	2217	5618
283	2225	5610
284	2233	5602
285	2241	5594
286	2248	5586
287	2256	5578
288	2264	5570
289	2272	5562
290	2279	5554
291	2287	5546
292	2294	5537
293	2302	5528
294	2310	5520
295	2317	5512
296	2325	5503
297	2332	5495
298	2340	5487
299	2347	5478
300	2355	5470
301	2363	5462
302	2371	5454
303	2378	5446
304	2386	5438
305	2394	5430
306	2402	5422
307	2409	5414
308	2417	5407
309	2425	5398
310	2432	5389
311	2440	5381
312	2448	5373
313	2455	5365
314	2463	5356
315	2471	5348
316	2478	5340
317	2486	5333
318	2494	5325
319	2502	5317
320	2510	5309
321	2517	5300
322	2525	5292
323	2532	5284
324	2540	5276
325	2548	5268
326	2555	5260
327	2563	5251
328	2571	5243
329	2579	5236
330	2586	5227
331	2594	5220
332	2602	5212
333	2609	5204
334	2617	5196
335	2625	5188
336	2633	5180
337	2640	5172
338	2648	5164
339	2656	5156
340	2663	5148
341	2671	5140
342	2679	5132
343	2686	5123
344	2694	5115
345	2702	5107
346	2709	5099
347	2717	5091
348	2725	5083
349	2732	5075
350	2740	5067
351	2748	5059
352	2755	5051
353	2763	5043
354	2771	5035
355	2779	5028
356	2787	5020
357	2795	5012
358	2802	5004
359	2811	4997
360	2818	4989
361	2826	4980
362	2834	4973
363	2841	4965
364	2849	4957
365	2857	4950
366	2865	4941
367	2872	4934
368	2880	4925
369	2888	4917
370	2895	4909
371	2903	4901
372	2911	4894
373	2919	4886
374	2927	4878
375	2935	4871
376	2943	4863
377	2950	4855
378	2958	4847
379	2966	4840
380	2974	4832
381	2982	4824
382	2990	4817
383	2997	4808
384	3005	4801
385	3012	4792
386	3020	4784
387	3028	4776
388	3036	4769
389	3044	4761
390	3051	4753
391	3059	4745
392	3067	4737
393	3075	4729
394	3082	4721
395	3090	4713
396	3097	4705
397	3105	4697
398	3113	4689
399	3121	4682
400	3129	4674
401	3137	4667
402	3145	4659
403	3153	4651
404	3161	4644
405	3168	4636
406	3176	4628
407	3184	4620
408	3192	4613
409	3200	4605
410	3208	4597
411	3215	4589
412	3223	4581
413	3231	4574
414	3239	4566
415	3247	4559
416	3255	4551
417	3263	4543
418	3270	4535
419	3278	4527
420	3286	4519
421	3294	4511
422	3301	4503
